Clase	Letra	Correspondencia	Transcripción	Forma	–1200	1201–1250	1251–1300	1301–1350	1351–1400	1401–1450	1451–1500	1501–1550	1551–1600
Word-medial vowel /i/	i	Fui(mos|ste)	fuisse	fuisse	8	2	1	0	0	0	73	28	18
Word-medial vowel /i/	i	Fui(mos|ste)	fuissem	fuissem	1	0	0	0	0	0	9	0	1
Word-medial vowel /i/	i	Fui(mos|ste)	fuissen	fuissen	0	0	0	0	1	0	0	0	0
Word-medial vowel /i/	i	Fui(mos|ste)	fuissent	fuissent	4	1	1	0	0	0	1	3	1
Word-medial vowel /i/	i	Fui(mos|ste)	fuisset	fuisset	8	2	0	3	0	0	12	5	6
Word-medial vowel /i/	i	Fui(mos|ste)	fuist	fuist	0	1	0	0	0	0	0	0	0
Word-medial vowel /i/	i	Fui(mos|ste)	fuiste	fuiste	0	0	1	10	0	1	68	118	305
Word-medial vowel /i/	ui	Fuisteis	fuisteis	fuisteis	0	0	0	0	0	0	14	6	40
Word-medial semivowel /j/ ending a diphthong	eis	Fuisteis	fuisteis	fuisteis	0	0	0	0	0	0	14	6	40
Word-medial vowel /i/	i	Fui(mos|ste)	fuistes	fuistes	0	1	3	0	1	0	34	91	142
Word-medial vowel /i/	i	Fui(mos|ste)	fuistete	fuistete	0	0	0	0	0	0	0	0	1
Word-medial vowel /i/	ui	Fuisteis	fuisteys	fuisteys	0	0	0	0	0	0	0	2	1
Word-medial semivowel /j/ ending a diphthong	eys	Fuisteis	fuisteys	fuisteys	0	0	0	0	0	0	0	2	1
Word-medial vowel /i/	ui	Fuisteis	fuisteis	fuistéis	0	0	0	0	0	0	0	2	1
Word-medial semivowel /j/ ending a diphthong	eis	Fuisteis	fuisteis	fuistéis	0	0	0	0	0	0	0	2	1
Word-medial vowel /i/	i	Fui(mos|ste)	fuit	fuit	306	50	30	18	1	9	1036	48	68
Word-medial vowel /i/	i	Fui(mos|ste)	fuie	fuié	0	0	0	0	0	2	0	0	0
Word-medial vowel /i/	i	Fui(mos|ste)	fuien	fuién	0	0	0	0	0	4	0	0	0
Word-final vowel /i/	j	Fui	fuj	fuj	3	0	0	0	1	0	0	0	0
Word-medial vowel /i/	j	Fui(mos|ste)	fuje	fuje	0	0	0	0	0	0	3	0	0
Word-medial vowel /i/	j	Fui(mos|ste)	fujen	fujen	0	0	0	0	0	0	4	0	0
Word-medial vowel /i/	j	Fui(mos|ste)	fujentes	fujentes	0	0	0	0	0	0	1	0	0
Word-medial vowel /i/	j	Fui(mos|ste)	fujme	fujme	1	0	0	0	0	0	0	0	0
Word-medial vowel /i/	j	Fui(mos|ste)	fujmos	fujmos	0	0	0	0	0	0	1	0	0
Word-medial vowel /i/	j	Fui(mos|ste)	fujo	fujo	0	0	0	0	1	0	1	0	1
Word-medial vowel /i/	j	Fui(mos|ste)	fujs	fujs	0	0	0	0	0	0	1	0	0
Word-medial vowel /i/	j	Fui(mos|ste)	fujstes	fujstes	0	0	0	0	0	0	1	0	0
Word-medial vowel /i/	j	Fui(mos|ste)	fujt	fujt	0	0	0	1	0	0	0	0	0
Word-final vowel /i/	y	Fui	fuy	fuy	140	60	418	302	83	128	411	193	322
Word-medial vowel /i/	y	Fui(mos|ste)	fuye	fuye	1	2	31	5	41	71	93	3	3
Word-medial vowel /i/	y	Fui(mos|ste)	fuyen	fuyen	2	5	26	6	67	41	99	7	3
Word-medial vowel /i/	y	Fui(mos|ste)	fuyent	fuyent	0	0	0	0	3	0	0	0	0
Word-medial vowel /i/	y	Fui(mos|ste)	fuyente	fuyente	0	0	0	0	0	6	1	0	0
Word-medial vowel /i/	y	Fui(mos|ste)	fuyentes	fuyentes	0	0	1	0	12	6	2	0	5
Word-medial vowel /i/	y	Fui(mos|ste)	fuyents	fuyents	0	0	0	0	1	0	0	0	0
Word-medial vowel /i/	y	Fui(mos|ste)	fuyes	fuyes	0	1	0	0	18	6	2	0	0
Word-medial vowel /i/	y	Fui(mos|ste)	fuyese	fuyese	0	0	0	4	5	13	10	0	0
Word-medial vowel /i/	y	Fui(mos|ste)	fuyesen	fuyesen	1	0	0	0	7	8	11	1	0
Word-medial vowel /i/	y	Fui(mos|ste)	fuyesse	fuyesse	0	1	2	3	24	2	13	2	0
Word-medial vowel /i/	y	Fui(mos|ste)	fuyessen	fuyessen	0	0	0	0	22	0	4	0	0
Word-medial vowel /i/	y	Fui(mos|ste)	fuyesssen	fuyesssen	0	0	0	0	1	0	0	0	0
Word-medial vowel /i/	y	Fui(mos|ste)	fuyeste	fuyeste	0	0	0	0	1	0	0	0	0
Word-medial vowel /i/	y	Fui(mos|ste)	fuyme	fuyme	0	0	1	0	0	1	2	7	2
Word-medial vowel /i/	y	Fui(mos|ste)	fuymonos	fuymonos	0	0	0	0	0	0	0	0	2
Word-medial vowel /i/	y	Fui(mos|ste)	fuymos	fuymos	3	0	1	2	2	8	22	87	32
Word-medial vowel /i/	y	Fui(mos|ste)	fuymosnos	fuymosnos	0	0	0	0	0	0	1	0	0
Word-medial vowel /i/	y	Fui(mos|ste)	fuyne	fuyne	0	1	0	0	0	0	0	0	0
